node,split,p1,p0
root,odor_n,0.48153467377923675,0.5184653262207632
1,spore-print-color_r,0.04009433962264151,0.9599056603773585
0,stalk-root_c,0.8213507625272332,0.1786492374727669
1-1,cap-shape_b,1.0,0.0
1-0,stalk-surface-below-ring_y,0.015481373971940009,0.98451862602806
0-1,bruises_f,0.05952380952380952,0.9404761904761905
0-0,stalk-root_r,0.9272125723738627,0.07278742762613731
1-0-1,gill-size_b,0.7105263157894737,0.2894736842105263
1-0-0,cap-surface_g,0.0024642681123706258,0.9975357318876293
0-1-1,cap-shape_b,1.0,0.0
0-1-0,cap-shape_b,0.0,1.0
0-0-1,cap-shape_b,0.0,1.0
0-0-0,odor_a,0.9747826086956521,0.025217391304347827
1-0-1-1,cap-shape_b,0.0,1.0
1-0-1-0,cap-shape_b,1.0,0.0
1-0-0-1,cap-shape_b,1.0,0.0
1-0-0-0,gill-size_b,0.0009871668311944718,0.9990128331688055
0-0-0-1,cap-shape_b,0.0,1.0
0-0-0-0,odor_l,0.9876651982378855,0.012334801762114538
1-0-0-0-1,cap-shape_b,0.0,1.0
1-0-0-0-0,bruises_f,0.017857142857142856,0.9821428571428571
0-0-0-0-1,cap-shape_b,0.0,1.0
0-0-0-0-0,cap-shape_b,1.0,0.0
1-0-0-0-0-1,cap-shape_b,0.0,1.0
1-0-0-0-0-0,cap-shape_b,1.0,0.0
